Name;Rating;Release
Insidious: Chapter 2;3.4;November 15, 2013;
Philomena;-;November 01, 2013;
Room on the Broom;4.1;October 30, 2013;
The Man with the Iron Fists;3.2;October 25, 2013;
The Fifth Estate;3.0;October 25, 2013;
Amour;3.1;October 25, 2013;
The Counselor;3.0;October 25, 2013;
The Square;1.5;October 25, 2013;
Jackass Presents: Bad Grandpa;-;October 25, 2013;
The Phone Call;3.5;October 20, 2013;
Escape Plan;3.5;October 18, 2013;
Captain Phillips;3.6;October 18, 2013;
Diana;3.3;October 04, 2013;
Runner Runner;3.2;October 04, 2013;
Elysium;3.5;September 27, 2013;
Prisoners;3.7;September 27, 2013;
Gambit;2.8;September 27, 2013;
Rush;3.7;September 20, 2013;
2 Guns;3.1;September 20, 2013;
Fruitvale Station;3.6;September 20, 2013;
The Family (Malavita);3.1;September 20, 2013;
Grown Ups 2;3.2;September 13, 2013;
Ida;-;September 11, 2013;
We're the Millers;3.4;August 30, 2013;
The Frozen Ground;3.1;August 30, 2013;
Kick-Ass 2;3.4;August 23, 2013;
Planes;3.5;August 23, 2013;
Jobs;3.3;August 23, 2013;
Blue Jasmine;2.1;August 23, 2013;
The World's End;3.0;August 23, 2013;
Lee Daniels' The Butler;3.7;August 16, 2013;
Cutie and the Boxer;-;August 16, 2013;
The Conjuring;3.7;August 02, 2013;
The Smurfs 2;3.6;August 02, 2013;
White House Down;3.6;July 19, 2013;
Red 2;3.3;July 19, 2013;
Turbo;3.8;July 19, 2013;
Only God Forgives;3.1;July 19, 2013;
Pacific Rim;3.7;July 12, 2013;
The Lone Ranger;3.5;July 05, 2013;
Despicable Me 2;3.9;July 05, 2013;
The Iceman;3.2;July 05, 2013;
The Way, Way Back;2.4;July 05, 2013;
Facing Fear;5.0;July 05, 2013;
Hummingbird;3.5;June 28, 2013;
The Bling Ring;3.9;June 14, 2013;
20 Feet from Stardom;3.8;June 14, 2013;
This Is The End;3.6;June 12, 2013;
After Earth;3.5;June 07, 2013;
Now You See Me;3.5;June 07, 2013;
The Purge;3.1;June 07, 2013;
The Internship;2.9;June 07, 2013;
Much Ado About Nothing;1.9;June 07, 2013;
The Hangover Part III;3.6;May 31, 2013;
Cinderella 3D;3.1;May 31, 2013;
Before Midnight;2.8;May 24, 2013;
Joanna;2.8;May 16, 2013;
Star Trek Into Darkness;3.5;May 10, 2013;
Mud;2.9;May 03, 2013;
Side Effects;2.7;May 03, 2013;
Our Curse;4.5;May 03, 2013;
Iron Man 3;4.1;April 26, 2013;
Pain and Gain;3.5;April 26, 2013;
The Big Wedding;3.4;April 26, 2013;
The Voorman Problem;2.0;April 25, 2013;
The Croods;3.7;April 19, 2013;
Texas Chainsaw 3D;3.2;April 19, 2013;
To the Wonder;2.6;April 12, 2013;
Evil Dead;3.5;April 05, 2013;
The Call;2.9;April 05, 2013;
Trance;3.0;April 05, 2013;
G.I. Joe: Retaliation;3.8;March 27, 2013;
Django Unchained;3.9;March 22, 2013;
Olympus Has Fallen;3.3;March 22, 2013;
Spring Breakers;3.0;March 22, 2013;
Admission;3.4;March 22, 2013;
The Master;3.9;March 15, 2013;
The Incredible Burt Wonderstone;3.5;March 15, 2013;
The Last Exorcism Part II;3.5;March 01, 2013;
Stoker;2.7;March 01, 2013;
A Good Day to Die Hard;3.5;February 22, 2013;
Silver Linings Playbook;3.8;February 22, 2013;
The Perks of Being a Wallflower;3.8;February 15, 2013;
Zero Dark Thirty;3.5;February 14, 2013;
Safe Haven;3.5;February 14, 2013;
Beautiful Creatures;3.2;February 14, 2013;
Mama;3.7;February 08, 2013;
Lincoln;4.0;February 08, 2013;
Identity Thief;3.3;February 08, 2013;
Stand Up Guys;2.7;February 01, 2013;
End of Watch;3.3;January 25, 2013;
Movie 43;3.2;January 25, 2013;
Just Before Losing Everything;-;January 23, 2013;
Les Miserables;3.8;January 18, 2013;
The Last Stand;2.9;January 18, 2013;
Broken City;2.7;January 18, 2013;
Get the Gringo;3.1;January 18, 2013;
Dirty Wars;3.3;January 18, 2013;
Gangster Squad;2.8;January 11, 2013;
The Grandmaster;3.9;January 08, 2013;
Cavedigger;-;January 04, 2013;
Jack Reacher;3.4;December 28, 2012;
Rise of the Guardians;3.7;December 21, 2012;
This Is 40;3.3;December 21, 2012;
On the Road;3.3;December 21, 2012;
The Hobbit: An Unexpected Journey;3.8;December 14, 2012;
The Collection;3.0;December 14, 2012;
Red Dawn;3.0;December 14, 2012;
Hitchcock;2.8;December 14, 2012;
Ernest & Celestine;3.0;December 12, 2012;
Hotel Transylvania (3D);3.6;December 07, 2012;
Wreck-It Ralph;3.7;November 09, 2012;
Top Cat: The Movie;3.0;November 09, 2012;
Chasing Mavericks;3.1;November 09, 2012;
Stolen;3.4;November 08, 2012;
The Act of Killing;-;November 08, 2012;
Skyfall;3.8;November 02, 2012;
Trouble with the Curve;3.1;November 02, 2012;
Flight;3.3;November 02, 2012;
Paperman;3.8;November 02, 2012;
Parvaneh;-;November 02, 2012;
Cloud Atlas;3.4;October 26, 2012;
Taken 2;3.5;October 12, 2012;
Looper;3.4;October 12, 2012;
Seven Psychopaths;2.7;October 12, 2012;
Here Comes the Boom;4.2;October 12, 2012;
Kings Point;3.0;October 12, 2012;
Karama Has No Walls;-;October 12, 2012;
The Possession;3.1;October 05, 2012;
Killing Them Softly;3.2;October 05, 2012;
Frankenweenie;3.3;October 05, 2012;
Butter;3.5;October 05, 2012;
The Paperboy;3.6;October 05, 2012;
Special Forces;3.3;September 14, 2012;
Tarbosaurus 3D;3.2;September 14, 2012;
Arbitrage;3.4;September 14, 2012;
Gone;3.0;September 14, 2012;
To Rome with Love;2.9;September 07, 2012;
Bachelorette;2.8;September 07, 2012;
Shark Night (3D);3.0;August 31, 2012;
Bel Ami;3.0;August 31, 2012;
The Campaign;3.1;August 31, 2012;
Hit and Run;2.7;August 31, 2012;
For a Good Time, Call...;2.8;August 31, 2012;
Sparkle;3.7;August 17, 2012;
ParaNorman;4.0;August 17, 2012;
The Bourne Legacy;3.2;August 10, 2012;
The Cold Light of Day;2.8;August 10, 2012;
Step Up: Revolution;3.9;August 03, 2012;
Total Recall;3.4;August 03, 2012;
Seeking a Friend for the End of the World;3.1;August 03, 2012;
Feral;2.3;August 03, 2012;
Ice Age: Continental Drift;3.8;July 27, 2012;
The Watch;3.7;July 27, 2012;
Killer Joe;3.5;July 27, 2012;
Savages;2.4;July 06, 2012;
The Amazing Spider-Man;3.8;June 29, 2012;
Beasts of the Southern Wild;2.9;June 27, 2012;
Brave;3.6;June 22, 2012;
Street Dance 2;3.3;June 22, 2012;
La Luna;4.3;June 22, 2012;
Piranha 3DD;3.3;June 15, 2012;
Rock of Ages;3.2;June 15, 2012;
Madagascar 3: Europe's Most Wanted;3.8;June 08, 2012;
Prometheus;3.3;June 08, 2012;
Safety Not Guaranteed;3.1;June 08, 2012;
Chernobyl Diaries;3.1;May 24, 2012;
Don't Be Afraid of the Dark;2.9;May 18, 2012;
Dr. Seuss' The Lorax;3.1;May 18, 2012;
What to Expect When You're Expecting;2.9;May 18, 2012;
The Best Exotic Marigold Hotel;2.7;May 18, 2012;
The Raven;2.5;May 18, 2012;
The Dictator;4.2;May 16, 2012;
Dark Shadows;3.4;May 11, 2012;
The Raid: Redemption;3.1;May 11, 2012;
Hugo;3.5;May 04, 2012;
The Lucky One;3.2;May 04, 2012;
That Wasn't Me;-;April 24, 2012;
21 Jump Street;3.6;April 20, 2012;
Mirror Mirror;2.8;April 20, 2012;
The Moth Diaries;3.3;April 20, 2012;
Battleship;3.6;April 13, 2012;
God Is the Bigger Elvis;-;April 12, 2012;
American Reunion;4.0;April 06, 2012;
Titanic 3D;3.8;April 05, 2012;
Wrath of the Titans;3.4;March 30, 2012;
The Hunger Games;3.5;March 23, 2012;
This Means War;3.2;March 16, 2012;
Extremely Loud & Incredibly Close;2.9;March 02, 2012;
The Devil Inside;3.2;March 02, 2012;
The Iron Lady;3.1;March 02, 2012;
Moneyball;3.5;February 24, 2012;
The Artist;3.5;February 24, 2012;
Carnage;3.1;February 24, 2012;
My Week with Marilyn;3.2;February 24, 2012;
Wanderlust;3.8;February 24, 2012;
Ghost Rider: Spirit of Vengeance;3.7;February 17, 2012;
Question Mark;3.2;February 17, 2012;
The Woman in Black;3.4;February 17, 2012;
War Horse;3.3;February 10, 2012;
LOL;2.7;February 10, 2012;
Journey 2: The Mysterious Island 3D;3.5;February 03, 2012;
Chronicle;3.8;February 03, 2012;
Love You To Death;3.1;February 03, 2012;
Man On A Ledge;2.0;February 03, 2012;
Redemption;2.8;February 03, 2012;
The Descendants;3.5;January 26, 2012;
Contraband;3.0;January 26, 2012;
Haywire;2.9;January 26, 2012;
Underworld 4: Awakening (3D);3.4;January 20, 2012;
Heartbreaker;2.7;January 13, 2012;
Joyful Noise;3.4;January 13, 2012;
The Darkest Hour;3.1;January 06, 2012;
Wild Life;2.8;January 06, 2012;
Tinker Tailor Soldier Spy;3.2;December 30, 2011;
Sherlock Holmes:  A Game of Shadows;3.8;December 29, 2011;
Alvin and the Chipmunks: Chip-Wrecked;3.5;December 23, 2011;
One Day;2.9;December 23, 2011;
We Bought a Zoo;3.2;December 23, 2011;
The Girl with the Dragon Tattoo;2.5;December 21, 2011;
Margin Call;3.5;December 20, 2011;
Dam999;3.3;November 25, 2011;
The Help;3.1;November 25, 2011;
Jack & Jill;3.0;November 25, 2011;
The Muppets;3.0;November 25, 2011;
The Twilight Saga: Breaking Dawn - Part 1;3.5;November 24, 2011;
Who's There?;3.1;November 18, 2011;
The Ides of March;2.7;November 18, 2011;
Happy Feet Two;3.2;November 18, 2011;
Tyrannosaur;3.5;November 18, 2011;
Immortals;3.5;November 11, 2011;
The Adventures of Tintin: The Secret of the Unicorn (3D);3.6;November 10, 2011;
Paranormal Activity 3;3.2;October 21, 2011;
The Whistleblower;3.5;October 21, 2011;
Last Night;3.1;October 21, 2011;
Super 8;3.3;October 14, 2011;
The Three Musketeers;3.1;October 14, 2011;
What's Your Number?;1.7;October 14, 2011;
Real Steel;3.8;October 07, 2011;
30 Minutes or Less;3.1;October 07, 2011;
Hell and Back Again;-;October 05, 2011;
Drive;3.3;September 30, 2011;
Johnny English Reborn;3.7;September 23, 2011;
Paradise Lost 3: Purgatory;-;September 11, 2011;
Friends with Benefits;3.4;September 09, 2011;
Contagion;3.2;September 09, 2011;
The Man in the Maze;3.2;September 02, 2011;
Albert Nobbs;-;September 02, 2011;
Conan the Barbarian;3.2;August 26, 2011;
Standby;3.2;August 26, 2011;
Bad Teacher;3.3;August 19, 2011;
Spy Kids 4: All the Time in the World;3.7;August 19, 2011;
Fright Night;3.2;August 19, 2011;
The Devil's Double;3.4;August 19, 2011;
Warning;3.0;August 05, 2011;
Garo the Movie: Red Requiem;3.2;August 05, 2011;
Bellflower;3.5;August 05, 2011;
Cowboys & Aliens;3.3;July 29, 2011;
The Smurfs (3D);3.6;July 29, 2011;
The Lion King 3D;4.0;July 29, 2011;
The Tree Of Life;3.6;July 29, 2011;
Harry Potter And The Deathly Hallows: Part 2;3.9;July 15, 2011;
Larry Crowne;2.8;July 08, 2011;
Transformers: Dark of the Moon;3.9;June 29, 2011;
Cars 2;3.8;June 24, 2011;
X-Men: First Class;3.9;June 10, 2011;
West is West;3.3;June 10, 2011;
A Morning Stroll;-;June 10, 2011;
Hanna;3.2;June 03, 2011;
Beginners;-;June 03, 2011;
Kung Fu Panda 2;4.0;May 27, 2011;
The Hangover 2;3.5;May 27, 2011;
Something Borrowed;3.2;May 27, 2011;
Pirates of the Caribbean: On Stranger Tides;3.6;May 20, 2011;
Priest (3D);3.5;May 13, 2011;
Arthur;3.0;May 13, 2011;
Water for Elephants;3.5;May 06, 2011;
Thor;3.8;April 29, 2011;
Source Code;3.9;April 29, 2011;
Limitless;3.5;April 29, 2011;
Queens! Destiny of Dance;3.4;April 29, 2011;
The Roommate;3.1;April 22, 2011;
Yogi Bear 3D;3.4;April 22, 2011;
Scream 4;3.4;April 15, 2011;
Unknown;3.5;April 15, 2011;
Splice;3.4;April 13, 2011;
