Name;Screen Size;Camera;RAM;Battery;Price
Samsung Galaxy J1 (2016);4.5 inch Screen;5MP Camera;1GB RAM;2050mAh ;Rs. 6,890 
Sony Xperia Z5 Dual;5.2 inch Screen;23MP Camera;3GB RAM;2900mAh ;Rs. 30,990
Lava Z10;5 inch Screen;8MP Camera;2GB RAM;2620mAh ;Rs. 8,891 
Intex Aqua 4G Mini;4 inch Screen;5MP Camera;512MB RAM;1450mAh ;Rs. 3,190 
Sony Xperia M4 Aqua Dual 8GB;5 inch Screen;13MP Camera;2GB RAM;2400mAh ;Rs. 14,289
Yu Yureka 2;5.5 inch Screen;16MP Camera;4GB RAM;3930mAh ;Rs. 11,999
Samsung Galaxy J5 (2017);5.2 inch Screen;13MP Camera;3GB RAM;3500mAh ;Rs. 19,855
Samsung Galaxy S6 64GB;5.1 inch Screen;16MP Camera;3GB RAM;2550mAh ;Rs. 34,480
Yu Yureka S;5.2 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,999 
Ziox QUIQ Cosmos 4G;4 inch Screen;2MP Camera;512MB RAM;1450mAh ;Rs. 2,750 
Panasonic Eluga I2;5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 5,900 
HTC Desire Eye;5.2 inch Screen;13MP Camera;2GB RAM;2400mAh ;Rs. 15,990
Microsoft Lumia 640 XL LTE Dual SIM;5.7 inch Screen;13MP Camera;1GB RAM;3120mAh ;Rs. 15,743
Samsung Galaxy C10;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;- 
Asus Zenfone 3 Ultra (ZU680KL);6.8 inch Screen;23MP Camera;4GB RAM;4600mAh ;Rs. 39,999
Asus ZenFone 2 Laser 3GB/16GB (ZE550KL);5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,499 
Yu Yureka Note;6 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
Obi Worldphone SF1 (3GB/32GB);5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 8,999 
Asus Zenfone 3 Deluxe 256GB (ZS570KL);5.7 inch Screen;23MP Camera;6GB RAM;3000mAh ;Rs. 61,999
Asus Zenfone 4 Max;5.5 inch Screen;13MP Camera;2GB RAM;5000mAh ;Rs. 14,999
Celkon Diamond U 4G;5 inch Screen;8MP Camera;1GB RAM;2500mAh ;Rs. 5,798 
HTC 10;5.2 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 34,995
BlackBerry Q10;3.1 inch Screen;8MP Camera;2GB RAM;2100mAh ;Rs. 9,999 
Xiaomi Mi Mix 2;5.99 inch Screen;12MP Camera;6GB RAM;3400mAh ;Rs. 35,990
Smartron srt.phone (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 11,999
Karbonn K9 Viraat 4G;5.5 inch Screen;8MP Camera;1GB RAM;2800mAh ;Rs. 4,800 
Motorola Moto G 3rd Gen;5 inch Screen;13MP Camera;2GB RAM;2470mAh ;Rs. 12,990
Oppo R9 Plus (128GB);6 inch Screen;16MP Camera;4GB RAM;4120mAh ;Rs. 44,999
Tecno Phantom 6 Plus;6 inch Screen;21MP Camera;4GB RAM;4050mAh ;Rs. 36,999
Intex Aqua Trend Lite;5 inch Screen;5MP Camera;1GB RAM;2600mAh ;Rs. 4,190 
Samsung Galaxy Alpha;4.7 inch Screen;12MP Camera;2GB RAM;1860mAh ;Rs. 34,999
Intex Elyt-e7;5.2 inch Screen;13MP Camera;3GB RAM;4020mAh ;Rs. 7,499 
Panasonic Eluga I3 Mega;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 9,099 
Motorola Moto G4 Play;5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 7,999 
BlackBerry DTEK50;5.2 inch Screen;13MP Camera;3GB RAM;2610mAh ;Rs. 18,990
Asus Zenfone 2 1.8GHz/4GB/32GB;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 9,990 
Samsung Galaxy A8 (2016)(64GB);5.7 inch Screen;16MP Camera;3GB RAM;3300mAh ;- 
Xiaomi Lanmi X1;5.5 inch Screen;12MP Camera;6GB RAM;4100mAh ;- 
Lava X46 4G;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 7,199 
Panasonic Eluga Prim;5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 7,915 
Samsung Galaxy S7 (64GB);5.1 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 35,838
Micromax Vdeo 2;4 inch Screen;5MP Camera;1GB RAM;1800mAh ;Rs. 3,999 
Coolpad Mega 2.5D;5.5 inch Screen;8MP Camera;3GB RAM;2500mAh ;Rs. 7,349 
Lenovo Vibe P1;5.5 inch Screen;13MP Camera;2GB RAM;4900mAh ;Rs. 15,999
LG K8;5 inch Screen;8MP Camera;1.5GB RAM;2125mAh ;Rs. 8,999 
HTC Desire 830;5.5 inch Screen;13MP Camera;3GB RAM;2800mAh ;Rs. 12,999
Panasonic Eluga I2 2GB RAM;5 inch Screen;8MP Camera;2GB RAM;2000mAh ;Rs. 5,990 
Oppo R9 Plus;6 inch Screen;16MP Camera;4GB RAM;4120mAh ;Rs. 36,999
Samsung Galaxy A3 (2016);4.7 inch Screen;13MP Camera;1.5GB RAM;2300mAh ;Rs. 15,279
Samsung Galaxy Note Edge;5.6 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 49,900
Acer Liquid Z630s;5.5 inch Screen;8MP Camera;3GB RAM;4000mAh ;Rs. 6,800 
Gionee S8;5.5 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 27,999
Karbonn A40 Indian;4 inch Screen;2MP Camera;1GB RAM;1400mAh ;Rs. 2,999 
Swipe Neo Power;4 inch Screen;5MP Camera;512MB RAM;2500mAh ;Rs. 2,999 
Coolpad Note 5 Lite C;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 7,500 
Gionee M2017;5.7 inch Screen;13MP Camera;6GB RAM;7000mAh ;Rs. 68,399
Tecno Phantom 6;5.5 inch Screen;13MP Camera;3GB RAM;2700mAh ;Rs. 19,899
Hyundai HI 50 Young;5 inch Screen;8MP Camera;2GB RAM;2000mAh ;Rs. 4,499 
LYF Wind 4;5 inch Screen;8MP Camera;1GB RAM;4000mAh ;Rs. 5,790 
Lava A71 4G;5 inch Screen;5MP Camera;1GB RAM;2500mAh ;Rs. 5,649 
Motorola Moto G Turbo Edition;5 inch Screen;13MP Camera;2GB RAM;2470mAh ;Rs. 12,299
Intex Aqua Zenith;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,099 
HTC 10 Lifestyle;5.2 inch Screen;12MP Camera;3GB RAM;3000mAh ;Rs. 20,990
Huawei P8lite;5 inch Screen;13MP Camera;2GB RAM;2200mAh ;Rs. 7,990 
Swipe Elite Plus;5 inch Screen;13MP Camera;2GB RAM;3050mAh ;Rs. 5,999 
HTC One M9+;5.2 inch Screen;20MP Camera;3GB RAM;2840mAh ;Rs. 32,020
LeEco Le 3 Pro;5.5 inch Screen;16MP Camera;6GB RAM;4070mAh ;Rs. 22,990
Itel PowerPro P41;5 inch Screen;5MP Camera;1GB RAM;5000mAh ;- 
Sony Xperia XZ 64GB;5.2 inch Screen;23MP Camera;3GB RAM;2900mAh ;Rs. 39,800
Xiaomi Mi 5S (4GB/128GB);5.1 inch Screen;12MP Camera;4GB RAM;3200mAh ;- 
Oppo R9s;5.5 inch Screen;16MP Camera;4GB RAM;3010mAh ;- 
LYF Wind 4S;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,589 
Sony Xperia XZs;5.2 inch Screen;19MP Camera;4GB RAM;2900mAh ;Rs. 35,300
Lenovo A6010;5 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 9,550 
Asus Zenfone 2 Laser 3GB/32GB (ZE601KL);6 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 12,999
Samsung Galaxy Note 5 64GB;5.7 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 61,020
iVOOMi iV505;5 inch Screen;5MP Camera;1GB RAM;3000mAh ;Rs. 3,999 
LYF Flame 7s;4 inch Screen;5MP Camera;1GB RAM;1800mAh ;Rs. 6,000 
LYF Wind 2;6 inch Screen;8MP Camera;2GB RAM;2850mAh ;Rs. 8,999 
iKall K1;5 inch Screen;5MP Camera;1GB RAM;2500mAh ;Rs. 3,999 
HTC Desire 826 (GSM+CDMA);5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 13,950
InFocus Turbo 5 (3GB/32GB);5.2 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 7,999 
Sony Xperia Z5 Premium Dual;5.5 inch Screen;23MP Camera;3GB RAM;3430mAh ;Rs. 48,990
Xiaomi Mi 5c;5.15 inch Screen;12MP Camera;3GB RAM;2860mAh ;Rs. 14,499
Micromax Selfie 2 Q4311;5.2 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,428 
Ziox Astra Champ 4G;4 inch Screen;2MP Camera;512MB RAM;1400mAh ;Rs. 2,949 
Lava Pixel V2;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 7,480 
Ringing Bells Smart 101;5 inch Screen;8MP Camera;1GB RAM;2800mAh ;Rs. 2,999 
Asus Zenfone 2 (ZE551ML) (4GB/128GB);5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 17,949
Apple iPhone X;5.8 inch Screen;12MP Camera;3GB RAM;-;Rs. 89,000
LYF Water 7;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 8,299 
HTC One M8;5 inch Screen;4MP Camera;2GB RAM;2600mAh ;Rs. 15,999
Micromax Canvas Unite 4 Plus;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 6,199 
Samsung Galaxy Note 5 Dual Sim;5.7 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 38,899
Lava X50 Plus;5.5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 6,799 
Nubia Z17 mini (Limited Edition);5.2 inch Screen;13MP Camera;6GB RAM;2950mAh ;Rs. 21,999
Swipe Elite Sense;5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 5,999 
Elephone P9000;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 11,498
HTC U Ultra;5.7 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 33,000
HTC Desire 630;5 inch Screen;13MP Camera;2GB RAM;2200mAh ;Rs. 10,979
Google Pixel;5 inch Screen;12.3MP Camera;4GB RAM;2770mAh ;Rs. 41,990
Intex Aqua S3;5 inch Screen;8MP Camera;2GB RAM;2450mAh ;Rs. 5,549 
Micromax Canvas Blaze 4G Plus;4.5 inch Screen;8MP Camera;1GB RAM;1750mAh ;Rs. 4,849 
Oppo R9s Plus;6 inch Screen;16MP Camera;4GB RAM;4120mAh ;- 
Motorola Moto X4;5.2 inch Screen;12MP Camera;3GB RAM;3000mAh ;Rs. 25,500
Motorola Moto Turbo;5.2 inch Screen;21MP Camera;3GB RAM;3900mAh ;Rs. 31,999
Samsung Galaxy S4 Zoom C1010;4.3 inch Screen;16MP Camera;1.5GB RAM;2330mAh ;Rs. 29,000
Intex Aqua Power HD 4G;5 inch Screen;8MP Camera;2GB RAM;3900mAh ;Rs. 8,299 
Samsung Galaxy J3 (2016);5 inch Screen;8MP Camera;1.5GB RAM;2600mAh ;Rs. 10,769
LG Q6 Plus;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;- 
Vivo Y27L;4.7 inch Screen;8MP Camera;1GB RAM;2260mAh ;Rs. 12,000
Vivo X9;5.5 inch Screen;16MP Camera;4GB RAM;3050mAh ;Rs. 27,999
Xolo Era 2X;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 5,999 
Karbonn K9 Smart Grand;5.2 inch Screen;8MP Camera;1GB RAM;2300mAh ;Rs. 5,900 
Zen Cinemax 4G;5.5 inch Screen;5MP Camera;2GB RAM;2900mAh ;Rs. 5,999 
Micromax Canvas Mega 2;6 inch Screen;8MP Camera;1GB RAM;3000mAh ;Rs. 6,585 
Zopo Speed 8;5.5 inch Screen;21MP Camera;4GB RAM;3600mAh ;Rs. 19,999
Samsung Galaxy Note 5 Dual Sim 64GB;5.7 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 67,664
Tenor E (3GB/32GB);5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
Micromax Canvas Amaze 4G;5 inch Screen;8MP Camera;1GB RAM;2230mAh ;Rs. 5,690 
Swipe Konnect Power;5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 4,999 
Lenovo A7700;5.5 inch Screen;8MP Camera;2GB RAM;2900mAh ;Rs. 8,349 
Vivo X7 64GB;5.2 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 25,380
LeEco Le 1s Eco;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,990 
Meizu M5 Note;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
LYF Water 6;5 inch Screen;13MP Camera;2GB RAM;2920mAh ;Rs. 6,499 
Xiaomi Redmi 3S Plus;5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 14,699
Nubia M2 lite;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,999 
Vivo Xplay5 Elite;5.43 inch Screen;16MP Camera;6GB RAM;3600mAh ;Rs. 44,999
Zopo Color S5.5;5.5 inch Screen;8MP Camera;1GB RAM;3000mAh ;Rs. 4,444 
Intex Aqua Super;5 inch Screen;8MP Camera;3GB RAM;2150mAh ;Rs. 6,999 
Intex Aqua Shine 4G;5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 6,999 
LYF Wind 3;5.5 inch Screen;8MP Camera;2GB RAM;2920mAh ;Rs. 7,233 
Xolo Era 2X 3GB;5 inch Screen;8MP Camera;3GB RAM;2500mAh ;Rs. 6,234 
Huawei Honor 6 Plus;5.5 inch Screen;13MP Camera;3GB RAM;3600mAh ;Rs. 20,000
HTC 10 evo;5.5 inch Screen;16MP Camera;3GB RAM;3200mAh ;Rs. 48,200
Asus ZenFone 3 Zoom;5.5 inch Screen;12MP Camera;4GB RAM;5000mAh ;- 
HTC Desire 820s;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 13,750
Nubia Z11 miniS;5.2 inch Screen;23MP Camera;4GB RAM;3000mAh ;Rs. 19,999
Motorola Moto G 3rd Gen 8GB;5 inch Screen;13MP Camera;1GB RAM;2470mAh ;Rs. 9,499 
LG F60 D392;4.5 inch Screen;5MP Camera;1GB RAM;2100mAh ;Rs. 6,990 
Ziox Astra Force 4G;5 inch Screen;5MP Camera;1GB RAM;3000mAh ;Rs. 5,554 
LYF Flame 8;4.5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 5,099 
Panasonic P77;5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 5,980 
HTC U Play;5.2 inch Screen;16MP Camera;4GB RAM;2500mAh ;Rs. 29,990
HTC One A9 3GB/32GB;5 inch Screen;13MP Camera;3GB RAM;2150mAh ;Rs. 22,180
Micromax Canvas Fire 4G Plus;4.7 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 6,099 
Samsung Galaxy A8 (2016);5.7 inch Screen;16MP Camera;3GB RAM;3300mAh ;- 
Vivo X9 (128GB);5.5 inch Screen;16MP Camera;4GB RAM;3050mAh ;Rs. 29,999
LG V30;6.2 inch Screen;13MP Camera;4GB RAM;-;- 
Swipe Elite Max;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 12,999
Xiaomi Mi 5S Plus;5.7 inch Screen;13MP Camera;4GB RAM;3800mAh ;- 
BlackBerry DTEK60;5.5 inch Screen;21MP Camera;4GB RAM;3000mAh ;Rs. 38,999
Hyve Buzz;5.5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 6,990 
LYF Water 4;5 inch Screen;13MP Camera;2GB RAM;2920mAh ;Rs. 6,375 
Motorola Moto G4 (3GB/32GB);5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 15,299
Gionee M6 Plus;6 inch Screen;16MP Camera;4GB RAM;6020mAh ;Rs. 27,499
Xolo Black 1X;5 inch Screen;13MP Camera;3GB RAM;2400mAh ;Rs. 7,957 
Intex Aqua Strong 5.1;5 inch Screen;5MP Camera;1GB RAM;2800mAh ;Rs. 4,750 
Intex Aqua Young 4G;5 inch Screen;5MP Camera;1GB RAM;2800mAh ;Rs. 4,999 
Lenovo A6600;5 inch Screen;8MP Camera;1GB RAM;2300mAh ;Rs. 5,969 
InFocus A1;5 inch Screen;5MP Camera;1GB RAM;2450mAh ;Rs. 4,700 
Yu Yuphoria;5 inch Screen;8MP Camera;2GB RAM;2230mAh ;Rs. 6,499 
Nubia N1 (32GB);5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 11,999
Honor 6C;5 inch Screen;13MP Camera;3GB RAM;3020mAh ;- 
Yota YotaPhone 2;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 14,950
Karbonn Aura Note Play;6 inch Screen;8MP Camera;2GB RAM;3200mAh ;Rs. 6,499 
Lava Iris X5 4G;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 9,550 
HTC Desire 820;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 14,499
Google Pixel XL;5.5 inch Screen;12.3MP Camera;4GB RAM;3450mAh ;Rs. 42,499
Google Pixel XL 128GB;5.5 inch Screen;12.3MP Camera;4GB RAM;3450mAh ;Rs. 49,490
OnePlus One 16GB;5.5 inch Screen;13MP Camera;3GB RAM;3100mAh ;Rs. 19,499
Intex Aqua Trend;5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,000 
Zopo Speed X;5 inch Screen;13MP Camera;3GB RAM;2680mAh ;Rs. 9,450 
Samsung Galaxy Mega 2;6 inch Screen;8MP Camera;1.5GB RAM;2800mAh ;Rs. 19,500
Xolo Era 2;5 inch Screen;5MP Camera;1GB RAM;2350mAh ;Rs. 3,999 
Panasonic P55 Novo 3GB;5.3 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 8,349 
HTC One M9+ (2GB/16GB);5.2 inch Screen;13MP Camera;2GB RAM;2840mAh ;Rs. 16,999
Motorola Moto X 2nd Gen;5.2 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 14,999
Oppo R9;5.5 inch Screen;13MP Camera;4GB RAM;2850mAh ;Rs. 24,999
Lenovo K6;5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,350 
LG Nexus 5X;5.2 inch Screen;12.3MP Camera;2GB RAM;2700mAh ;Rs. 18,689
Panasonic Eluga L 4G;5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 6,999 
Intex Aqua S7;5 inch Screen;13MP Camera;3GB RAM;3200mAh ;Rs. 8,899 
Panasonic Eluga Pulse;5 inch Screen;13MP Camera;2GB RAM;2200mAh ;Rs. 8,199 
Panasonic Eluga Turbo;5 inch Screen;13MP Camera;3GB RAM;2350mAh ;Rs. 9,199 
Motorola Moto Z2;5.5 inch Screen;12MP Camera;4GB RAM;3600mAh ;Rs. 34,999
Hyve Pryme;5.7 inch Screen;13MP Camera;4GB RAM;3500mAh ;Rs. 9,725 
Panasonic Eluga Icon;5.5 inch Screen;13MP Camera;2GB RAM;3500mAh ;Rs. 11,999
Jivi Energy 3;4 inch Screen;5MP Camera;512MB RAM;1800mAh ;Rs. 3,299 
Swipe Elite 2 Plus;5 inch Screen;5MP Camera;1GB RAM;2500mAh ;Rs. 3,790 
Asus Zenfone Go 5.5 (32GB) (ZB551KL);5.5 inch Screen;13MP Camera;2GB RAM;3010mAh ;Rs. 8,090 
Nubia Z17;5.5 inch Screen;23MP Camera;6GB RAM;3200mAh ;- 
Xiaomi Redmi 2 Prime;4.7 inch Screen;8MP Camera;2GB RAM;2200mAh ;Rs. 6,990 
Ziox Astra Colors 4G;5 inch Screen;5MP Camera;1GB RAM;4000mAh ;Rs. 5,553 
Swipe Elite 3;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 4,444 
LYF Wind 6;5 inch Screen;5MP Camera;1GB RAM;2250mAh ;Rs. 5,599 
LYF Wind 7s;5 inch Screen;8MP Camera;2GB RAM;2250mAh ;Rs. 5,952 
Zopo Hero 1;5 inch Screen;13.2MP Camera;2GB RAM;2500mAh ;Rs. 5,510 
Karbonn A1 Indian;4 inch Screen;3.2MP Camera;1GB RAM;1500mAh ;Rs. 3,366 
Asus Zenfone 2 (ZE551ML);5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,999 
Vivo Xplay5;5.43 inch Screen;16MP Camera;4GB RAM;3600mAh ;Rs. 39,999
LG G2 4G LTE 32GB;5.2 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 22,500
Samsung Galaxy A9;6 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 31,999
Intex Aqua Selfie;5.5 inch Screen;5MP Camera;2GB RAM;3000mAh ;Rs. 6,319 
Google Pixel 2;5 inch Screen;12.2MP Camera;4GB RAM;2700mAh ;Rs. 61,000
Videocon Cube 3;5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 6,536 
Asus Zenfone 2 1.8GHz/2GB/16GB;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,990 
Lava V2s;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 6,499 
Panasonic T45 4G;4.5 inch Screen;5MP Camera;1GB RAM;1800mAh ;Rs. 5,999 
Sony Xperia M4 Aqua Dual;5 inch Screen;13MP Camera;2GB RAM;2400mAh ;Rs. 22,700
ZTE Q806T;5 inch Screen;13MP Camera;1GB RAM;3000mAh ;Rs. 4,899 
TCL 560;5.5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 5,999 
Karbonn Aura Power;5 inch Screen;8MP Camera;1GB RAM;4000mAh ;Rs. 5,190 
Meizu M3 Note;5.5 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 10,499
Huawei Enjoy 7 Plus;5.5 inch Screen;12MP Camera;3GB RAM;4000mAh ;Rs. 14,690
Sony Xperia XZ1;5.2 inch Screen;23MP Camera;4GB RAM;-;Rs. 42,990
Nokia Lumia 830;5 inch Screen;10MP Camera;1GB RAM;2200mAh ;Rs. 11,990
Sony Xperia XZ1 Compact;4.6 inch Screen;19MP Camera;4GB RAM;2700mAh ;Rs. 42,990
Samsung Galaxy J3 (2017);5 inch Screen;5MP Camera;1.5GB RAM;2600mAh ;Rs. 11,499
Lava A76;4.5 inch Screen;5MP Camera;1GB RAM;1850mAh ;Rs. 4,849 
Asus Zenfone Go 4.5 LTE (ZB450KL);4.5 inch Screen;8MP Camera;1GB RAM;2070mAh ;Rs. 5,390 
Micromax Canvas Amaze 2;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 7,499 
Samsung Galaxy Core Prime 4G;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 11,500
Lava A88;5 inch Screen;5MP Camera;512MB RAM;2000mAh ;Rs. 4,949 
Swipe Konnect 4G;4 inch Screen;5MP Camera;512MB RAM;2000mAh ;Rs. 3,199 
Karbonn Quattro L51 HD;5 inch Screen;8MP Camera;2GB RAM;2200mAh ;Rs. 5,550 
Swipe Elite Power;5.5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,499 
Google Pixel 128GB;5 inch Screen;12.3MP Camera;4GB RAM;2770mAh ;Rs. 42,490
LG X Power2;5.5 inch Screen;13MP Camera;1.5GB RAM;4500mAh ;Rs. 10,999
Xolo Era 4K;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,999 
Xolo Black 3GB;5.5 inch Screen;13MP Camera;3GB RAM;3200mAh ;Rs. 9,999 
Motorola Moto X 2nd Gen 32GB;5.2 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 17,999
Samsung Galaxy Wide;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;- 
Asus Zenfone 3 Deluxe (ZS570KL);5.7 inch Screen;23MP Camera;4GB RAM;3000mAh ;Rs. 45,000
Lenovo Vibe K5;5 inch Screen;13MP Camera;2GB RAM;2750mAh ;Rs. 6,999 
Lava X28;5.5 inch Screen;8MP Camera;1GB RAM;2600mAh ;Rs. 5,799 
Panasonic P9;5 inch Screen;8MP Camera;1GB RAM;2210mAh ;Rs. 6,250 
LYF Wind 7;5 inch Screen;8MP Camera;2GB RAM;2250mAh ;Rs. 6,999 
Huawei Honor Magic;5.1 inch Screen;12MP Camera;4GB RAM;2900mAh ;- 
Tecno Phantom 5;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 20,999
Motorola Moto X Style 32GB;5.7 inch Screen;21MP Camera;3GB RAM;3000mAh ;Rs. 19,900
Sony Xperia M2 Aqua;4.8 inch Screen;8MP Camera;1GB RAM;2300mAh ;Rs. 6,990 
Lava A72;5 inch Screen;5MP Camera;1GB RAM;2500mAh ;Rs. 5,849 
Alcatel PIXI 4 (5);5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 3,599 
Xiaomi Redmi 2;4.7 inch Screen;8MP Camera;1GB RAM;2200mAh ;Rs. 6,990 
Centric P1;5 inch Screen;8MP Camera;2GB RAM;3950mAh ;- 
Xiaomi Mi Note 3;5.5 inch Screen;12MP Camera;6GB RAM;3500mAh ;Rs. 29,400
LYF WATER 3;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 6,599 
Smartron t.phone;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 16,990
Smartron srt.phone;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 9,295 
Asus ZenFone 2 Deluxe;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 15,999
InFocus M680;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 7,999 
Yu Yureka Plus;5.5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 7,500 
Panasonic Eluga Arc 2;5 inch Screen;8MP Camera;3GB RAM;2450mAh ;Rs. 7,600 
Lava X41+;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 7,399 
Vivo X6S;5.2 inch Screen;13MP Camera;4GB RAM;2400mAh ;Rs. 29,999
Vivo Y25;4.5 inch Screen;5MP Camera;1GB RAM;1900mAh ;- 
Sony Xperia C5 Ultra Dual;6 inch Screen;13MP Camera;2GB RAM;2930mAh ;Rs. 17,999
Tenor E;5.5 inch Screen;13MP Camera;2GB RAM;4000mAh ;Rs. 7,999 
Yu Yureka Black;5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 8,999 
LYF Water 2;5 inch Screen;13MP Camera;2GB RAM;2400mAh ;Rs. 7,490 
Celkon Diamond Mega 4G;5.5 inch Screen;8MP Camera;1GB RAM;2700mAh ;Rs. 6,499 
Micromax Canvas Evok;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,470 
Motorola Nexus 6 64GB;6 inch Screen;13MP Camera;3GB RAM;3220mAh ;Rs. 29,990
Asus ZenFone 2 Laser 2GB/8GB;5 inch Screen;13MP Camera;2GB RAM;2070mAh ;Rs. 19,999
Intex Aqua 4G Strong;4 inch Screen;2MP Camera;768MB RAM;1700mAh ;Rs. 4,690 
Intex Cloud 4G Smart;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,990 
