Name;Screen Size;Camera;RAM;Battery;Price
Intex Aqua Pro 4G;4.5 inch Screen;5MP Camera;1GB RAM;3200mAh ;Rs. 4,198 
Xiaomi Redmi 3S Prime;5 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 6,949 
Apple iPhone 6 Plus 64GB;5.5 inch Screen;8MP Camera;1GB RAM;2915mAh ;Rs. 38,990
Apple iPhone 6s Plus;5.5 inch Screen;12MP Camera;2GB RAM;2750mAh ;Rs. 36,990
Apple iPhone 6s 64GB;4.7 inch Screen;12MP Camera;2GB RAM;1715mAh ;Rs. 71,000
Samsung Galaxy Grand Prime 4G;5 inch Screen;8MP Camera;1GB RAM;2600mAh ;Rs. 11,500
Ziox QUIQ Flash 4G;5 inch Screen;5MP Camera;1GB RAM;2450mAh ;Rs. 4,942 
Gionee S6 Pro;5.5 inch Screen;13MP Camera;4GB RAM;3130mAh ;Rs. 13,149
Samsung Galaxy A5 (2016);5.2 inch Screen;13MP Camera;2GB RAM;2900mAh ;Rs. 17,900
Asus Zenfone 4 Selfie (ZD553KL);5.5 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 13,999
Micromax Evok Power;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,999 
Oppo F1;5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 13,350
Micromax Evok Note;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,499 
Samsung Galaxy On7 (2016);5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 16,990
Intex Aqua Strong 5.1 Plus;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 3,130 
Sony Xperia XA1;5 inch Screen;23MP Camera;3GB RAM;2300mAh ;Rs. 15,990
Samsung Galaxy C8;5.5 inch Screen;13MP Camera;4GB RAM;2560mAh ;Rs. 24,990
Samsung Galaxy Ace 3;4 inch Screen;5MP Camera;1GB RAM;1500mAh ;Rs. 3,999 
Vivo V1;5 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 12,499
LG G4 Dual Sim;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 18,999
Lenovo K6 Note;5.5 inch Screen;16MP Camera;3GB RAM;4000mAh ;Rs. 9,949 
OnePlus 3T;5.5 inch Screen;16MP Camera;6GB RAM;3400mAh ;Rs. 24,999
Apple iPhone 7;4.7 inch Screen;12MP Camera;2GB RAM;1960mAh ;Rs. 38,799
Lenovo A2010;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 6,000 
Infinix Note 4;5.7 inch Screen;13MP Camera;2GB RAM;4300mAh ;Rs. 7,999 
Vivo X7 Plus;5.7 inch Screen;16MP Camera;4GB RAM;4000mAh ;Rs. 28,990
Lenovo K8 Plus (4GB);5.2 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 10,999
Micromax Canvas 6;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 7,539 
Vivo V3 Max;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 21,500
Asus Zenfone 2 2.3GHz/4GB/64GB;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 22,999
Vivo V5 Plus IPL Limited Edition;5.5 inch Screen;16MP Camera;4GB RAM;3055mAh ;Rs. 22,990
Intex Aqua 5.5 VR;5.5 inch Screen;5MP Camera;1GB RAM;2800mAh ;Rs. 4,499 
Honor 5C;5.2 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,999 
Gionee F5;5.3 inch Screen;13MP Camera;4GB RAM;4000mAh ;- 
Micromax Canvas 5 Lite (Special Edition);5 inch Screen;8MP Camera;3GB RAM;2000mAh ;Rs. 5,490 
Oppo R5;5.2 inch Screen;13MP Camera;2GB RAM;2000mAh ;Rs. 9,600 
Apple iPhone 5c;4 inch Screen;8MP Camera;1GB RAM;1510mAh ;Rs. 11,990
Motorola Moto G5S;5.2 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 12,750
Apple iPhone 5s 32GB;4 inch Screen;8MP Camera;1GB RAM;1560mAh ;Rs. 20,999
Xiaomi Mi Max 2 (64GB);6.44 inch Screen;12MP Camera;4GB RAM;5300mAh ;Rs. 14,999
Intex Aqua Supreme+;5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 6,590 
Motorola Moto C;5 inch Screen;5MP Camera;1GB RAM;2350mAh ;Rs. 5,380 
Lenovo Vibe K5 Note (3GB);5.5 inch Screen;13MP Camera;3GB RAM;3500mAh ;Rs. 11,999
Apple iPhone 5s 64GB;4 inch Screen;8MP Camera;1GB RAM;1560mAh ;Rs. 22,990
LYF Water 10;5 inch Screen;13MP Camera;3GB RAM;2300mAh ;Rs. 6,389 
Samsung Galaxy A7;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 13,599
Samsung Galaxy J Max;7 inch Screen;8MP Camera;1.5GB RAM;4000mAh ;Rs. 11,649
Lenovo Phab 2 Plus;6.4 inch Screen;13MP Camera;3GB RAM;4050mAh ;Rs. 13,999
Micromax Bolt Warrior 2 Q4202;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 6,499 
Micromax Dual 5;5.5 inch Screen;13MP Camera;4GB RAM;3200mAh ;Rs. 23,999
Micromax Canvas Play 4G Q469;5.5 inch Screen;13MP Camera;2GB RAM;2820mAh ;Rs. 7,739 
Asus ZenFone 3 Max (ZC553KL);5.5 inch Screen;16MP Camera;3GB RAM;4100mAh ;Rs. 10,330
LeEco Le 2;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 10,990
Micromax Canvas Blaze 4G Q400;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,880 
LG G6;5.7 inch Screen;13MP Camera;4GB RAM;3300mAh ;Rs. 32,799
Motorola Moto G5;5 inch Screen;13MP Camera;3GB RAM;2800mAh ;Rs. 10,430
LG G5;5.3 inch Screen;16MP Camera;4GB RAM;2800mAh ;Rs. 24,380
LYF F1;5.5 inch Screen;16MP Camera;3GB RAM;3200mAh ;Rs. 8,740 
Xiaomi Redmi Note 3;5.5 inch Screen;16MP Camera;3GB RAM;4050mAh ;Rs. 11,999
Motorola Moto G4;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,999 
Lava A97 2GB RAM;5 inch Screen;5MP Camera;2GB RAM;2350mAh ;Rs. 5,299 
Vivo V5 Lite;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 15,980
Motorola Moto X Play;5.5 inch Screen;21MP Camera;2GB RAM;3630mAh ;Rs. 14,990
Coolpad Max A-8;5.5 inch Screen;13MP Camera;4GB RAM;2800mAh ;Rs. 10,790
Apple iPhone 7 128GB;4.7 inch Screen;12MP Camera;2GB RAM;1960mAh ;Rs. 49,999
Apple iPhone 7 Plus 256GB;5.5 inch Screen;12MP Camera;3GB RAM;2900mAh ;Rs. 58,190
iVOOMi Me3;5.2 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 4,999 
Asus ZenFone 2 Laser 2GB/16GB;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,999 
Sony Xperia Z3+;5.2 inch Screen;20.7MP Camera;3GB RAM;2930mAh ;Rs. 19,190
Motorola Moto X Play 32GB;5.5 inch Screen;21MP Camera;2GB RAM;3630mAh ;Rs. 18,999
Gionee F103 Pro;5 inch Screen;13MP Camera;3GB RAM;2400mAh ;Rs. 8,690 
Gionee S6s;5.5 inch Screen;13MP Camera;3GB RAM;3150mAh ;Rs. 12,065
Vivo Y31L;4.7 inch Screen;8MP Camera;1GB RAM;2200mAh ;Rs. 8,499 
Karbonn Aura Note 4G;5.5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 5,180 
Tenor G (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 12,999
Xiaomi Redmi Note 4 (2GB/32GB);5.5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 8,999 
Sony Xperia XA1 Plus (4GB);5.5 inch Screen;23MP Camera;4GB RAM;3430mAh ;Rs. 23,999
Alcatel A7;5.5 inch Screen;16MP Camera;3GB RAM;4000mAh ;- 
